Period,Battery,PV,PV with PPA,Cogen plant
2020,0.47,0.3,1.06,0.0
2025,0.79,0.3,5.0,0.0
2030,1.21,0.3,5.0,5.07
2035,1.03,0.0,5.0,6.67
