Period,Battery,PV,PV with PPA,Cogen plant
2020,0.39,0.3,3.7,0.0
2025,1.82,0.3,3.7,8.92
2030,2.32,0.3,3.7,8.92
2035,1.8,0.0,3.7,8.92
