Period,Battery,PV,PV with PPA,Cogen plant
2020,0.29,0.3,3.14,0.0
2025,1.43,0.3,3.14,8.8
2030,2.17,0.3,3.14,8.8
2035,1.86,0.0,3.14,8.8
