Period,Battery,PV,PV with PPA,Cogen plant
2020,0.55,0.3,4.44,0.0
2025,1.56,0.3,4.44,9.93
2030,2.46,0.3,4.44,10.0
2035,2.29,0.0,4.44,10.0
