Period,Battery,PV,PV with PPA,Cogen plant
2020,0.36,0.3,3.49,0.0
2025,1.52,0.3,3.49,9.39
2030,2.39,0.3,3.49,9.39
2035,2.09,0.0,3.49,9.39
