Period,Battery,PV,PV with PPA,Cogen plant
2020,0.61,0.3,4.72,0.0
2025,1.99,0.3,4.72,9.51
2030,2.58,0.3,4.72,9.51
2035,2.07,0.0,4.72,9.51
