Period,Battery,PV,PV with PPA,Cogen plant
2020,0.67,0.3,1.86,0.0
2025,1.42,5.3,5.0,0.0
2030,1.99,10.3,5.0,5.52
2035,1.89,12.0,5.0,6.58
