Period,Battery,PV,PV with PPA,Cogen plant
2020,0.41,0.3,3.83,0.0
2025,1.79,0.3,3.83,9.45
2030,2.49,0.3,3.83,9.45
2035,2.07,0.0,3.83,9.45
