Period,Battery,PV,PV with PPA,Cogen plant
2020,0.38,0.3,3.37,0.0
2025,1.46,0.3,3.37,9.22
2030,2.29,0.3,3.37,9.28
2035,2.01,0.0,3.37,9.28
