Period,Battery,PV,PV with PPA,Cogen plant
2020,0.66,0.3,1.91,0.0
2025,1.0,0.3,1.91,9.32
2030,2.35,2.02,1.91,9.32
2035,2.27,2.74,1.91,9.32
