Period,Battery,PV,PV with PPA,Cogen plant
2020,0.48,0.3,2.46,0.0
2025,0.83,0.3,5.0,0.0
2030,1.11,0.3,5.0,5.1
2035,0.95,0.0,5.0,5.66
