Period,Battery,PV,PV with PPA,Cogen plant
2020,0.46,0.3,4.06,0.0
2025,1.52,0.3,4.06,9.84
2030,2.66,0.3,4.06,9.99
2035,2.42,0.0,4.06,10.0
