Period,Battery,PV,PV with PPA,Cogen plant
2020,0.47,0.3,1.06,0.0
2025,0.76,0.3,5.0,0.0
2030,1.21,0.3,5.0,5.16
2035,1.04,0.0,5.0,6.9
