Period,Battery,PV,PV with PPA,Cogen plant
2020,0.63,0.3,4.83,0.0
2025,2.03,0.3,4.83,9.56
2030,2.64,0.3,4.83,9.56
2035,2.19,0.0,4.83,9.56
