Period,Battery,PV,PV with PPA,Cogen plant
2020,0.38,0.3,3.66,0.0
2025,1.6,0.3,3.66,9.34
2030,2.37,0.3,3.66,9.34
2035,2.02,0.0,3.66,9.34
