Period,Battery,PV,PV with PPA,Cogen plant
2020,0.48,0.3,1.05,0.0
2025,1.5,4.84,5.0,0.0
2030,1.95,9.84,5.0,5.6
2035,1.73,11.54,5.0,7.61
