Period,Battery,PV,PV with PPA,Cogen plant
2020,0.34,0.3,3.49,0.0
2025,1.64,0.3,3.49,8.86
2030,2.25,0.3,3.49,8.86
2035,1.85,0.0,3.49,8.86
