Period,Battery,PV,PV with PPA,Cogen plant
2020,0.58,0.3,2.18,0.0
2025,1.42,5.3,5.0,0.0
2030,2.05,10.3,5.0,5.43
2035,2.0,12.0,5.0,6.54
