Period,Battery,PV,PV with PPA,Cogen plant
2020,0.52,0.3,2.38,0.0
2025,0.83,0.3,5.0,0.0
2030,1.14,0.3,5.0,5.2
2035,0.99,0.0,5.0,5.87
