Period,Battery,PV,PV with PPA,Cogen plant
2020,0.63,0.3,2.02,0.0
2025,1.12,0.3,2.02,8.78
2030,2.15,1.63,2.02,8.78
2035,1.94,1.82,2.02,8.78
