Period,Battery,PV,PV with PPA,Cogen plant
2020,0.68,0.3,1.85,0.0
2025,1.39,4.22,5.0,0.0
2030,1.84,9.22,5.0,5.47
2035,1.65,10.92,5.0,6.47
