Period,Battery,PV,PV with PPA,Cogen plant
2020,0.53,0.3,1.3,0.0
2025,1.4,3.43,5.0,0.0
2030,1.76,8.43,5.0,5.26
2035,1.49,10.13,5.0,7.04
