Period,Battery,PV,PV with PPA,Cogen plant
2020,0.49,0.3,4.19,0.0
2025,1.93,0.3,4.19,9.01
2030,2.37,0.3,4.19,9.01
2035,1.84,0.0,4.19,9.01
