Period,Battery,PV,PV with PPA,Cogen plant
2020,0.49,0.3,2.45,0.0
2025,0.82,0.3,5.0,0.0
2030,1.14,0.3,5.0,5.22
2035,0.98,0.0,5.0,5.85
