Period,Battery,PV,PV with PPA,Cogen plant
2020,0.5,0.3,4.21,0.0
2025,0.77,0.3,5.0,0.0
2030,1.13,0.3,5.0,4.96
2035,1.0,0.0,5.0,6.34
