Period,Battery,PV,PV with PPA,Cogen plant
2020,0.55,0.3,2.26,0.0
2025,1.38,5.3,5.0,0.0
2030,2.06,10.3,5.0,5.36
2035,1.95,12.0,5.0,6.4
